2017-01-24 02:34:10,712 - INFO - 3678:Dummy-1 - zato_scheduler:22 - Job scheduled `zato.server.cluster-wide-singleton-keep-alive` (interval_based, start: 2017-01-24 01:34:40.712440 UTC)
2017-01-24 02:34:41,377 - INFO - 3678:Dummy-15 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 1, u'cid': u'K07WQE6MWQF2ZBZT3XNBSJRD0VZC', u'start_time': '2017-01-24T01:34:40.712440', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:1;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2017-01-24 02:34:41,453 - INFO - 3678:Dummy-16 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 2, u'cid': u'K065EPG6YCAJQ39H4DC1EQQ29VSK', u'start_time': '2017-01-24T01:34:40.712440', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:1;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2017-01-24 02:34:54,473 - INFO - 3678:Dummy-17 - zato_scheduler:22 - Job executed `zato.stats.aggregate-by-minute`, `{u'interval_in_seconds': 60.0, u'name': u'zato.stats.aggregate-by-minute', u'current_run': 1, u'cid': u'K0522GYCD1QXQTKHM4JCB4GMRWW1', u'start_time': '2017-01-24T01:34:53.999119', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.stats.aggregate-by-minute', u'extra': ''}, u'type': u'interval_based', u'id': 2}`
2017-01-24 02:35:11,382 - INFO - 3678:Dummy-19 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 3, u'cid': u'K07AV43ARBBSA12FA18TPNJT11S1', u'start_time': '2017-01-24T01:34:40.712440', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:1;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2017-01-24 02:35:11,453 - INFO - 3678:Dummy-20 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 4, u'cid': u'K041VH64TAEV7RN254ZR4E36MAN9', u'start_time': '2017-01-24T01:34:40.712440', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:1;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2017-01-24 02:35:24,530 - INFO - 3678:Dummy-22 - zato_scheduler:22 - Job executed `zato.stats.process-raw-times`, `{u'interval_in_seconds': 90.0, u'name': u'zato.stats.process-raw-times', u'current_run': 1, u'cid': u'K05Q6WBBARK3Y8DM0KH8YJY68T40', u'start_time': '2017-01-24T01:35:23.981615', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.stats.process-raw-times', u'extra': 'max_batch_size=99999'}, u'type': u'interval_based', u'id': 1}`
2017-01-24 02:35:41,388 - INFO - 3678:Dummy-24 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 5, u'cid': u'K04PA22NS2K0M7FAG9076996JEFB', u'start_time': '2017-01-24T01:34:40.712440', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:1;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2017-01-24 02:35:41,462 - INFO - 3678:Dummy-25 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 6, u'cid': u'K053MRKGAE45AAFECJGV71YT60Q7', u'start_time': '2017-01-24T01:34:40.712440', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:1;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2017-01-24 02:35:54,479 - INFO - 3678:Dummy-26 - zato_scheduler:22 - Job executed `zato.stats.aggregate-by-minute`, `{u'interval_in_seconds': 60.0, u'name': u'zato.stats.aggregate-by-minute', u'current_run': 2, u'cid': u'K075RNFMG742R4VMTQ4B2H3PR397', u'start_time': '2017-01-24T01:34:53.999119', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.stats.aggregate-by-minute', u'extra': ''}, u'type': u'interval_based', u'id': 2}`
2017-01-24 02:36:11,383 - INFO - 3678:Dummy-28 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 7, u'cid': u'K059CG5M9KN4CWN69KNDNZ39BEF5', u'start_time': '2017-01-24T01:34:40.712440', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:1;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
2017-01-24 02:36:11,456 - INFO - 3678:Dummy-29 - zato_scheduler:22 - Job executed `zato.server.cluster-wide-singleton-keep-alive`, `{u'interval_in_seconds': 30.0, u'name': u'zato.server.cluster-wide-singleton-keep-alive', u'current_run': 8, u'cid': u'K07ABJTJJS4MGXFCAMFP10G5P1GA', u'start_time': '2017-01-24T01:34:40.712440', u'max_repeats_reached': False, u'max_repeats': None, u'cb_kwargs': {u'service': u'zato.server.cluster-wide-singleton-keep-alive', u'extra': u'server_id:1;cluster_id:1'}, u'type': u'interval_based', u'id': 0}`
