2017-01-24 02:34:24,731 - INFO - 3691:Dummy-5 - zato_admin:22 - cid:[K07YCPP89PSXH76M3P9AR8J11APE], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:34:24,748 - INFO - 3691:Dummy-5 - zato_admin:22 - cid:[K07YCPP89PSXH76M3P9AR8J11APE], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:34:41,454 - INFO - 3691:Dummy-6 - zato_admin:22 - cid:[K065EPG6YCAJQ39H4DC1EQQ29VSK], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:34:41,476 - INFO - 3691:Dummy-6 - zato_admin:22 - cid:[K065EPG6YCAJQ39H4DC1EQQ29VSK], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:34:54,732 - INFO - 3692:Dummy-3 - zato_admin:22 - cid:[K07P51G6VX8C9DKD31F8RPDEVXN9], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:34:54,732 - INFO - 3692:Dummy-3 - zato_admin:22 - cid:[K07P51G6VX8C9DKD31F8RPDEVXN9], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:34:54,737 - INFO - 3691:Dummy-8 - zato_admin:22 - cid:[K07P51G6VX8C9DKD31F8RPDEVXN9], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:34:54,768 - INFO - 3691:Dummy-8 - zato_admin:22 - cid:[K07P51G6VX8C9DKD31F8RPDEVXN9], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:35:11,384 - INFO - 3691:Dummy-9 - zato_admin:22 - cid:[K07AV43ARBBSA12FA18TPNJT11S1], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:35:11,407 - INFO - 3691:Dummy-9 - zato_admin:22 - cid:[K07AV43ARBBSA12FA18TPNJT11S1], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:35:24,733 - INFO - 3692:Dummy-4 - zato_admin:22 - cid:[K050QV8567ACJ5DPZY8TCB8S6KZX], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:35:24,734 - INFO - 3692:Dummy-4 - zato_admin:22 - cid:[K050QV8567ACJ5DPZY8TCB8S6KZX], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:35:24,735 - INFO - 3691:Dummy-11 - zato_admin:22 - cid:[K050QV8567ACJ5DPZY8TCB8S6KZX], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:35:24,752 - INFO - 3691:Dummy-11 - zato_admin:22 - cid:[K050QV8567ACJ5DPZY8TCB8S6KZX], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:35:41,393 - INFO - 3691:Dummy-12 - zato_admin:22 - cid:[K04PA22NS2K0M7FAG9076996JEFB], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:35:41,415 - INFO - 3691:Dummy-12 - zato_admin:22 - cid:[K04PA22NS2K0M7FAG9076996JEFB], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:35:54,480 - INFO - 3692:Dummy-5 - zato_admin:22 - cid:[K075RNFMG742R4VMTQ4B2H3PR397], name:[zato.stats.aggregate-by-minute], SIO request:[{}]
2017-01-24 02:35:54,481 - INFO - 3692:Dummy-5 - zato_admin:22 - cid:[K075RNFMG742R4VMTQ4B2H3PR397], name:[zato.stats.aggregate-by-minute], response:[]
2017-01-24 02:35:54,732 - INFO - 3691:Dummy-14 - zato_admin:22 - cid:[K043X1HRR2N09HTY5SJXXHKF1NQ2], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
